;topic_id;top_terms;N_posts;P_posts;Label;Importance;examples;
16;15;adn, nanoparticules, 5g, microsoft, base, test, arn, enrichir, quantique, commande;871;1,264297741;Comptes de bots;0;"@silvano_trotta @GoussP2N Recette du Control total des peuples.:Le détonateur la 5g, les explosifs les nanoparticules dans les vaccins, la commande l id quantique dont ils sont entrain d enrichir le data base microsoft avec les pseudos test covid pour récupérer l adn 
 @Lilou2460 @MagicMelkir Recette du Control total des peuples.:Le détonateur la 5g, les explosifs les nanoparticules dans les vaccins, la commande l id quantique dont ils sont entrain d enrichir le data base microsoft avec les pseudos test covid pour récupérer l adn Medite 
 @MagicMelkir @ArianeWalter @GoussP2N Recette du Control total des peuples.:Le détonateur la 5g, les explosifs les nanoparticules dans les vaccins, la commande l id quantique dont ils sont entrain d enrichir le data base microsoft avec les pseudos test covid pour récupérer l adn 
 <U+0001F914>On lui dit qu'il y a déjà des puces dans les injections botox et acide hyaluronique... Big pharma n'est pas con, ils tracent tout #BigPharma #kimglow #JenPeuxPlusDesCons 
 Nanoparticules d'aluminium vaccinal dans le cerveau https://t.co/UHtxcAuTeo via @YouTube";
17;16;comme, france, enfants, gouvernement, francais, tracer, betail, macron, mondial, ordre;1693;2,457469663;;;"Ne vous faites pas dépisté, ne mettez pas vos enfants à l'école, refusez le vaccin mortifère de Bill... 
 #14JuilletEnsemble #paris #France #Revolution fini dès ce faire sodomiser sans bouger stop ni vaccin ni puce rifd stop au mensonge d’état pour instaurer leurs nouvel ordre mondial rdv demain dans la rue #Feministes #Antifas #justicepourtous #DarmaninDemission #DarmaninVioleur <U+0001F6D1> https://t.co/uBsVhNYLae 
 #COVID__19 #vaccination #BillGates #coronavirus voilà ceux qui attende le vaccin seront les cobayes de bill gâtes et compagnie pharmaceutiques <U+0001F6D1><U+0001F6D1><U+0001F6D1><U+0001F6D1><U+0001F6D1> 
 @dr_l_alexandre @BillGates @andrebercoff Que Docteur Bill Gates vaccine les foldingues. Ça nous fera une belle jambe ! 
 tiens l'organe de bill gates fait sa propagande";
18;17;kennedy, robert, jr, programme, rapport, expose, fauci, trump, denonce, 2020;1144;1,660570168;;;"VACCINS • Les dangereuses expérimentations de Bill Gates, par Robert F. Kennedy Jr. | Turbulences https://t.co/VTRHWb9Gqs 
 Robert F Kennedy Jr. expose le programme de vaccination de Bill Gates dans un rapport cinglant https://t.co/eAyyw05pIX 
 The Anthony Fauci, Bill Gates, George Soros, Sanofi Pasteur, China, Corona Virus Vaccine Connection https://t.co/PBhroyBYsv via @wordpressdotcom 
 https://t.co/L4RNxl229l YouTube L'Actualité vue par Franck MULLER 114 / Gates: une vaccination mondiale - Kennedy contre le programm... 
 Robert Kennedy Jr. : En juin 2020, Bill Gates parlait déjà du certificat de vaccination https://t.co/GwbhlDdD1K";
19;18;fondation, microsoft, oms, melinda, finance, van, nord, russie, groupes, sante;1153;1,673634094;;;"""En plus d’utiliser sa philanthropie pour contrôler l’OMS, l’UNICEF, GAVI et PATH, Gates finance des sociétés pharmaceutiques qui fabriquent des vaccins et un vaste réseau de groupes de l’industrie pharmaceutique ...""<U+0001F489><U+0001F637> https://t.co/Pyu2ebKEED 
 @Agalloch84 @SteveTighe5 @OstignyR @VieLacombe Son admin fait des vaccins? Je savais qu'ils ont des liens avec la RFID chip mais j'ai rien trouvé pour les vaccins... Tu as un lien? https://t.co/Tib4MJuxNE 
 Le but caché des vaccins à nanoparticules révélé par des militaires russes https://t.co/1ObFAS8Mx7 
 @ProvencherJimm1 @BenoitPhilipp12 @les_vaxxeuses @Erick_P_Muller_ @jdmedecin Cuba et la Chine développant leur vaccin c'est aussi Bill Gates ? 
 De nombreux experts, économistes, spécialistes du développement et de la santé, sont très critiques sur les objectifs, les méthodes et les résultats des campagnes de vaccination menées par la fondation Gates via l’OMS, et sur son impact sur les questions de santé dans le monde.";
20;19;comme, vendre, pourront, acheter, peau, faudra, ecrit, refuseront, marcher, foi;577;0,837542821;;;"Bill Gates admet que 700 000 personnes pourraient être blessées ou tuées par ses vaccins contre le coronavirus https://t.co/02o3PkYSRw via @DemeulenaereO 
 Bill Gates promet qu'il n'utilisera pas le vaccin contre le coronavirus pour pucer les gens https://t.co/9gE0wjUbJm 
 @C_A_Gustave @Ignis87736341 @nyctalope_92 @CGollier #COVID19 #Vaccin #BillGates ""explique que le vaccin Covid utilisera une technologie expérimentale et modifiera de façon permanente votre ADN…"" Bonne chance !! https://t.co/8anSQemZIO 
 @LEXPRESS Dans ce vaccin, il y aura une puce électronique insérée sous la peau mais il faut absolument renoncer à se faire piquer. Mais ATTENTION : ceux qui refuseront ce vaccin ne pourront ni acheter, ni vendre, comme écrit dans Apocalypse. Il faudra marcher par la foi. 
 Bill Gates promet qu'il n'utilisera pas le vaccin contre le coronavirus pour pucer les gens | CNEWS https://t.co/JKBxbeBqHQ";
21;20;obligatoire, clinique, maison, bientot, arrive, mort, video, hopitaux, retraite, revolte;311;0,451431226;;;"@pierrejovanovic Très intéressante étude d'un geo-politologue. Hormis la vaccination obligatoire de la planète entière avec puce rfid, le second but est la DESTRUCTION de la classe moyenne (pme, pmi, indépendants). En tirer les conséquences pour anticiper. https://t.co/3iG7DxAyML 
 Telex : Les puces Intel Tiger Lake 11 Gen en approche, Tentative de vol des données liées au vaccin Covid-19, La 5G dope les ventes de serveurs #Intel annonce un événement le 2 septembre, préparant pr https://t.co/hBDcW5bidK https://t.co/BmuVLP9w0n 
 @PartiduGoulag j'habite marseille, je vais de clinique en clinique, d hôpitaux en maison de retraite etc .<U+0001F971> pas de réa ,pas de mort. Les Marseillais le savent la révolte arrive bientôt. leur but = vaccin obligatoire+puce video officiel du gouvernement.<U+0001F447> https://t.co/nXwoWSEIh1 
 Petit rappel de ce qui était considéré comme complotiste : - il n'y a pas d'armes de destruction massive en Iraq -Sarkozy a tué Khadafi pour une histoire de financement de campagne . -Cahuzac n'est pas un exilé fiscale. -le vaccin deviendra obligatoire etc.. Alors bill Gates .. 
 @Shedevilcanada @LessardDaniel1 @PatenaudeAlain1 Portail vers le N.O.M. le nom du virus est: SARS-COV2. C ertificat O f V accination ID entity 1 = A artificial 9 = I ntelligence + puçage et traçage avec la 5G. + tests pour récupérer votre ARN/ADN. + vaccination obligatoire.";
22;21;millions, fondation, monde, dollars, enfants, melinda, pays, africains, afrique, milliards;1398;2,029263195;;;"@olivierveran @MinSoliSante @gouvernementFR @ameli_actu @LeCnam A quand le #vaccin de #Gates pour matérialisation du plan #georgiaguidestone Neurologue âgé de 40 ans ? Déjà bien commencé dans certains pays en catimini. https://t.co/6r3qoelEfK 
 @titePrincessMi1 Non ci pour fair les papiers, la puce, le vaccin itouitou.... et sûrment un antipupuce 
 La fondation Bill Gates fait des tests de vaccins aux nano particules depuis 2019 en malawi, rwanda et bangladesh. Il y a un article du monde là dessus. PI, Gates fait des dons financiers au journal le monde. 
 ""Procédure nationale canadienne contre l’OMS et ses alliés"" ""Dans un article des Pastors Chronicles, le titre suivant apparaît : « les vaccins des Nations Unies stérilisent 500 000 femmes au Kenya » le 8 décembre 2018.  « Le milliardaire Bill Gates aime… https://t.co/AToSxAu8cb 
 La Tanzanie ne veut pas des vaccins de Bill et Melinda Gates @cab2626 @ElianeCarrier @EChabriere";
23;22;nanoparticules, arn, effets, adn, virus, moderna, pfizer, secondaires, arnm, personnes;2198;3,190501074;;;"Trois des 15 cobayes humains de la cohorte à forte dose (250 mcg), ont subi un «événement indésirable grave» dans les 43 jours suivant la réception du jab de Moderna.. #VaccinesAreNotTheAnswer https://t.co/qGTm9KJsuC 
 Il traduit tout y compris la santé en milliards. Quel faisan! https://t.co/TPSvZk4uEt 
 Complotiste ? Non .Réalité Dr. Louis Fouché: ""Les nanoparticules et traçage dans les vaccins ne sont plus une science-fiction."" Avec tous les risques que cela engendrent https://t.co/8NSiU9lSBv 
 @snow_cyclist @LeDevoir Je comprend ton point de vue, mais ici on parle d’un vaccin nouveau, avec arn qui aura un impacte sur notre adn(selon Bill Gâtes) donc, vous ne pensez pas que ca premdrais des phase de teste plus longue? Alors qu’un vaccin traditionnel doit avoir plusieurs années? 
 @JdeMontreal Un suivi médian de 2 mois?? un nouveau type de vaccin arn à nanoparticules (une thérapie génique) et on se fit sur un suivi médian de seulement 2 mois?? ai-je bien lu?";
24;23;pucerfid, control, mind, youtube, oligarchie, pedophilie, 5g, ue, pedocriminalite, op5g;893;1,296231783;;;"#genocide #géo-ingénieriesocial #Franc-maconnerie #UE #5G #PuceRFID #Mind-control #Vaccins #Oligarchie COVID-19 : LE GRAND RAOUT MONDIAL https://t.co/TzuppvdLt9 via @YouTube 
 #GILETS_JAUNES #Noublionsrien #OnNoublieraPas #Sortezdechezvous #Baslesmasques #PuceRFID #Mind-control #UE #5G #Stop5G #StopChemtrails #Op5G #PuceRFID #Mind-control #Vaccins Publication de 10 scientifiques italiens https://t.co/fw3iibypx4 via @YouTube 
 #giletsjaunes #giletsjaune #GiletsJaunesConstituants #Op5G #PuceRFID #Mind-control #Vaccins #Oligarchie #pedophilie #pedocriminalité ALLO PRESIDENT N° 90 - 2020 12 juillet - Interview de Jim Le Veilleur https://t.co/FEyQXmR3KC via @YouTube 
 #giletsjaunes #giletsjaune #GiletsJaunesConstituants #PuceRFID #Mind-control #Vaccins #Oligarchie #pedophilie #pedocriminalité Mettez vos masques !! https://t.co/pLRJ2Yyvx9 via @YouTube 
 #giletsjaunes #giletsjaune #GiletsJaunesConstituants #PuceRFID #Mind-control #Vaccins #Oligarchie #pedophilie #pedocriminalitéLe Pouvoir De L'Image https://t.co/TfjEr9njLI via @YouTube";
25;24;5g, nanoparticules, virus, comme, raoult, terre, complot, gens, video, voir;1894;2,74923068;;;"Alain Soral : Bill Gates ou quand le vaccin est plus dangereux que le virus https://t.co/Xg5t6QrnQA 
 La dangerosité des vaccins. Nanoparticules dans le cerveau https://t.co/qeECCs1Eku via @YouTube 
 @MarieBayle77 @lemondefr Euh @SanofiFR c'est pas ceux qui fabriquent le #Plaquenil? Ils sont donc passés du côté obscur de la force<U+0001F644> avec les puces 5G dans les vaccins, #BigPharma, #NousSachons 
 @MagMetropoli Et pour les puces 5G injectées sous prétexte du vaccin Covid? Allez les beaufs vous avez 4h 
 Ben non, Bernard! Tu n’y es pas du tout! Kubrick a été assassiné parce que c’est lui qui avait réalisé les fake films de la mission Apollo! Il menaçait de tout révéler. De plus, il avait pris le vaccin pour ne plus être un reptilien, et Bill Gates n’a pas aimé ça.";
